index,nn,asset_price,strike,maturity,interest_rate,div_yield,volatility,price
1,2500,91.04660469,100,4.484444488,0.05306293,0.068553571,0.180566986,7.074843833
2,2500,87.9535014,100,0.401780198,0.035960632,0.045259254,0.516211693,6.901000835
3,2500,95.76134731,100,0.481901305,0.029018527,0.012487276,0.3791596,8.524216579
4,2500,126.1438524,100,0.961242332,0.076389794,0.045788633,0.258760291,29.9255097
5,2500,76.355225,100,0.769319507,0.021216321,0.068156043,0.479663692,4.886663354
6,2500,127.2074242,100,0.238231339,0.003656302,0.054088408,0.358279104,27.35253038
7,2500,101.5027099,100,0.208168316,0.039888075,0.032583363,0.504601926,10.01348459
8,2500,104.6436518,100,4.178631542,0.075194639,0.04400356,0.181756184,20.25340452
9,2500,110.2721311,100,0.79059656,0.041904829,0.071521251,0.214334741,12.67316799
10,2500,118.8723864,100,2.269711455,0,0.078907351,0.295381041,22.44327748
11,2500,96.6378493,100,0.955804974,0,0.006001882,0.352818309,11.58779419
12,2500,83.45028994,100,0.997302944,0.038724543,0.065245107,0.415594367,7.204430961
13,2500,127.4430414,100,0.259169552,0,0.026532204,0.467114846,29.0735501
14,2500,108.4069929,100,0.178750315,0.072317348,0.018061689,0.211885202,10.09865552
15,2500,107.6407901,100,0.445481741,0,0.002164981,0.273718823,11.91774115
16,2500,92.99837912,100,0.831801532,0.05300517,0.061727923,0.500279328,13.35410935
17,2500,83.66276956,100,0.506474893,0,0.080444958,0.237534878,0.728807122
18,2500,118.1254864,100,0.178369498,0.093939836,0.098914491,0.114995975,18.12548643
19,2500,102.0482541,100,0.805362832,0,0.088535945,0.109088767,2.953545176
20,2500,80.92846455,100,0.296021434,0.061644349,0.004181986,0.412968813,2.130300477
21,2500,129.060965,100,0.469566181,0.098830226,0.094557919,0.569830505,34.92946764
22,2500,84.64991721,100,0.696143674,0.052784683,0.029550725,0.483415694,8.569559764
23,2500,105.0119905,100,0.77546805,0.051181992,0.055179251,0.305796757,13.10637231
24,2500,91.2720583,100,0.9965405,0.088654386,0.097125882,0.141296363,1.779274643
25,2500,77.53927524,100,0.295958862,0.078287207,0.030891459,0.327347432,0.629724753
26,2500,125.3399199,100,0.858892004,0.037818614,0.077095422,0.446893807,31.04462676
27,2500,86.14328391,100,0.301849364,0.062371641,0.067303117,0.452169812,3.770503039
28,2500,116.0153001,100,0.846679047,0.018222751,0.093447827,0.218222466,16.30131687
29,2500,123.7534944,100,0.273920797,0.055729516,0.009908965,0.149547641,24.93795104
30,2500,90.33734069,100,0.261084231,0.090636432,0.021014564,0.486247534,5.874481265
31,2500,73.27699691,100,0.451769277,0.099756035,0.050128291,0.414461969,1.782681133
32,2500,78.25279569,100,0.90500298,0,0.039000491,0.50580129,7.252971335
33,2500,90.59727341,100,0.656503645,0.073058536,0.093602733,0.558746916,11.79208706
34,2500,114.9893326,100,2.593128913,0.055226162,0.083522051,0.423238716,30.21352432
35,2500,107.1682933,100,0.397381249,0.041390075,0.036063657,0.589564566,18.98970803
36,2500,89.66529763,100,0.975460497,0.095417446,0.083780318,0.346172552,8.111623551
37,2500,86.89009355,100,0.696388451,0.062457292,0.023038307,0.115961315,0.523403751
38,2500,90.92708851,100,0.142799206,0.071504501,0.045134058,0.395304326,2.334922887
39,2500,78.26577355,100,0.757945747,0.058820939,0.083672278,0.528091146,6.795672789
